models,en,es,ca,eu,gl
mGPT,38.94,45.79,42.49,49.4,45.98
xglm-7.5B,36.21,41.36,38.59,45.15,45.64
bloomz-7b1,45.25,46.03,41.04,49.44,46.89
Meta-Llama-3-8B-Instruct,51.48,52.44,50.16,47.45,54.23
Mixtral-8x7B-Instruct-v0.1,-,-,-,-,-
Mistral-7B-Instruct-v0.2,64.95,61.59,57.56,46.18,56.82
FLOR-6.3B-Instructed,-,42.77,40.35,-,-
latxa-7b-v1.1,-,-,-,48.46,-
FLOR-1.3B-GL,-,-,-,-,47.66
Meta-Llama-3-70B-Instruct,59.59,60.31,55.32,52.62,60.75
latxa-70b-v1.1,-,-,-,51.18,-
Meta-Llama-3-8B,42.39,45.37,43.59,48.6,48.34
Mistral-7B-v0.1,42.35,44.5,44.12,46.01,47.79
